Year	CCAA	Type	Value
2013	ceuta	renta_media_por_unidad_de_consumo	14686
2013	ceuta	renta_neta_media_por_persona	9336
2013	comunidad_valenciana	renta_media_por_unidad_de_consumo	13881
2013	comunidad_valenciana	renta_neta_media_por_persona	9375
2013	extremadura	renta_media_por_unidad_de_consumo	12139
2013	extremadura	renta_neta_media_por_persona	8224
2013	galicia	renta_media_por_unidad_de_consumo	15037
2013	galicia	renta_neta_media_por_persona	10106
2013	madrid	renta_media_por_unidad_de_consumo	19124
2013	madrid	renta_neta_media_por_persona	12823
2013	melilla	renta_media_por_unidad_de_consumo	17898
2013	melilla	renta_neta_media_por_persona	11313
2013	murcia	renta_media_por_unidad_de_consumo	12487
2013	murcia	renta_neta_media_por_persona	8253
2013	navarra	renta_media_por_unidad_de_consumo	20191
2013	navarra	renta_neta_media_por_persona	13608
2013	pais_vasco	renta_media_por_unidad_de_consumo	20955
2013	pais_vasco	renta_neta_media_por_persona	14312
2013	rioja	renta_media_por_unidad_de_consumo	15321
2013	rioja	renta_neta_media_por_persona	10686
2013	total_nacional	renta_media_por_unidad_de_consumo	15635
2013	total_nacional	renta_neta_media_por_persona	10531
2014	andalucia	renta_media_por_unidad_de_consumo	12118
2014	andalucia	renta_neta_media_por_persona	8079
2014	aragon	renta_media_por_unidad_de_consumo	17662
2014	aragon	renta_neta_media_por_persona	12037
2014	asturias	renta_media_por_unidad_de_consumo	16011
2014	asturias	renta_neta_media_por_persona	11251
2014	baleares	renta_media_por_unidad_de_consumo	15729
2014	baleares	renta_neta_media_por_persona	10660
2014	canarias	renta_media_por_unidad_de_consumo	12505
2014	canarias	renta_neta_media_por_persona	8302
2014	cantabria	renta_media_por_unidad_de_consumo	14137
2014	cantabria	renta_neta_media_por_persona	9824
2014	castilla_la_mancha	renta_media_por_unidad_de_consumo	12824
2014	castilla_la_mancha	renta_neta_media_por_persona	8545
2014	castilla_leon	renta_media_por_unidad_de_consumo	15080
2014	castilla_leon	renta_neta_media_por_persona	10406
2014	catalunya	renta_media_por_unidad_de_consumo	18104
2014	catalunya	renta_neta_media_por_persona	12205
2014	ceuta	renta_media_por_unidad_de_consumo	13758
2014	ceuta	renta_neta_media_por_persona	8712
2014	comunidad_valenciana	renta_media_por_unidad_de_consumo	13446
2014	comunidad_valenciana	renta_neta_media_por_persona	9144
2014	extremadura	renta_media_por_unidad_de_consumo	11345
2014	extremadura	renta_neta_media_por_persona	7729
2014	galicia	renta_media_por_unidad_de_consumo	15273
2014	galicia	renta_neta_media_por_persona	10235
2014	madrid	renta_media_por_unidad_de_consumo	18789
2014	madrid	renta_neta_media_por_persona	12597
2014	melilla	renta_media_por_unidad_de_consumo	18073
2014	melilla	renta_neta_media_por_persona	11619
2014	murcia	renta_media_por_unidad_de_consumo	11715
2014	murcia	renta_neta_media_por_persona	7767
2014	navarra	renta_media_por_unidad_de_consumo	19550
2014	navarra	renta_neta_media_por_persona	13221
2014	pais_vasco	renta_media_por_unidad_de_consumo	20957
2014	pais_vasco	renta_neta_media_por_persona	14281
2014	rioja	renta_media_por_unidad_de_consumo	16090
2014	rioja	renta_neta_media_por_persona	11120
2014	total_nacional	renta_media_por_unidad_de_consumo	15405
2014	total_nacional	renta_neta_media_por_persona	10391
2015	andalucia	renta_media_por_unidad_de_consumo	11862
2015	andalucia	renta_neta_media_por_persona	7942
2015	aragon	renta_media_por_unidad_de_consumo	18395
2015	aragon	renta_neta_media_por_persona	12427
2015	asturias	renta_media_por_unidad_de_consumo	16227
2015	asturias	renta_neta_media_por_persona	11427
2015	baleares	renta_media_por_unidad_de_consumo	15894
2015	baleares	renta_neta_media_por_persona	10828
2015	canarias	renta_media_por_unidad_de_consumo	12932
2015	canarias	renta_neta_media_por_persona	8640
2015	cantabria	renta_media_por_unidad_de_consumo	15159
2015	cantabria	renta_neta_media_por_persona	10494
2015	castilla_la_mancha	renta_media_por_unidad_de_consumo	12725
2015	castilla_la_mancha	renta_neta_media_por_persona	8498
2015	castilla_leon	renta_media_por_unidad_de_consumo	15284
2015	castilla_leon	renta_neta_media_por_persona	10570
2015	catalunya	renta_media_por_unidad_de_consumo	18236
2015	catalunya	renta_neta_media_por_persona	12283
2015	ceuta	renta_media_por_unidad_de_consumo	13362
2015	ceuta	renta_neta_media_por_persona	8512
2015	comunidad_valenciana	renta_media_por_unidad_de_consumo	13305
