Year	CCAA	Type	Value
2017	extremadura	pm25	26.128891772019468
2017	extremadura	so2	1.4616622508014494
2017	madrid	co	1.4139298505246058
2017	madrid	no2	22.0576734454392
2017	madrid	o3	31.63725972698319
2017	madrid	pm10	17.90568582875861
2017	madrid	pm25	43.086545922902445
2017	madrid	so2	2.4369375836542444
2017	melilla	co	0.2
2017	melilla	no2	5.0
2017	melilla	o3	60.0
2017	melilla	pm10	52.0
2017	melilla	pm25	14.0
2017	melilla	so2	2.0
2017	navarra	co	1.0280040745187604
2017	navarra	no2	3.722111149164977
2017	navarra	o3	32.56368583660143
2017	navarra	pm10	14.59478280995619
2017	navarra	pm25	31.326267529644024
2017	navarra	so2	2.021546015136249
2017	pais_vasco	co	1.3149472995858733
2017	pais_vasco	no2	8.721695203298186
2017	pais_vasco	o3	29.540695116984214
2017	pais_vasco	pm10	16.24576420110475
2017	pais_vasco	pm25	40.07026033772623
2017	pais_vasco	so2	2.011264741378872
2017	rioja	co	1.1324124828777926
2017	rioja	no2	7.77395411605938
2017	rioja	o3	22.695384615384615
2017	rioja	pm10	13.306842105263158
2017	rioja	pm25	34.507894736842104
2017	rioja	so2	1.783122807017544
2017	total_nacional	co	1.1547239813744234
2017	total_nacional	no2	9.821553677263179
2017	total_nacional	o3	33.984438864128236
2017	total_nacional	pm10	20.04319791251911
2017	total_nacional	pm25	35.714818818307876
2017	total_nacional	so2	2.3318509284189464
2018	andalucia	co	2.5504031476475064
2018	andalucia	no2	7.7667624769439705
2018	andalucia	o3	32.991888086547014
2018	andalucia	pm10	21.914347775754855
2018	andalucia	pm25	48.916206095846555
2018	andalucia	so2	2.3645034781737126
2018	asturias	co	1.257796624240622
2018	asturias	no2	11.49849449406718
2018	asturias	o3	24.64737721214999
2018	asturias	pm10	20.436377224941054
2018	asturias	pm25	38.32871340251269
2018	asturias	so2	2.7931351764084185
2018	baleares	co	1.1653563768696276
2018	baleares	no2	5.718072888029633
2018	baleares	o3	34.57928050912567
2018	baleares	pm10	19.726703471918945
2018	baleares	pm25	35.51179079351831
2018	baleares	so2	1.6822703660032332
2018	canarias	co	1.0975057322532706
2018	canarias	no2	4.646983199391254
2018	canarias	o3	29.239116105048286
2018	canarias	pm10	21.012648998468663
2018	canarias	pm25	33.44418474214559
2018	canarias	so2	2.1281053707790893
2018	cantabria	co	1.4368462426764268
2018	cantabria	no2	10.347167877320544
2018	cantabria	o3	30.69795941141508
2018	cantabria	pm10	18.80578497984382
2018	cantabria	pm25	43.78487489761808
2018	cantabria	so2	2.6134174785684645
2018	castilla_leon	co	0.837107133816862
2018	castilla_leon	no2	4.603201445744358
2018	castilla_leon	o3	29.17189426783637
2018	castilla_leon	pm10	18.605822720908474
2018	castilla_leon	pm25	25.50908374287964
2018	castilla_leon	so2	3.16041942522743
2018	catalunya	co	1.6802153914928246
2018	catalunya	no2	15.986081714780687
2018	catalunya	o3	32.0619950129847
2018	catalunya	pm10	20.64765820147084
2018	catalunya	pm25	51.20103914565686
