Year	CCAA	Value
2022	baleares	102,4594596087
2022	canarias	98,3008493706
2022	cantabria	103,2839241757
2022	castilla_la_mancha	101,3474815169
2022	castilla_leon	101,3988918056
2022	catalunya	100,6573216753
2022	ceuta	95,9756545929
2022	comunidad_valenciana	102,3516147512
2022	extremadura	101,2003516043
2022	galicia	99,6600194692
2022	madrid	101,9795926513
2022	melilla	98,7855997412
2022	murcia	99,4740066381
2022	navarra	105,209050839
2022	pais_vasco	103,3992385223
2022	rioja	104,2952854973
2022	total_nacional	101,1387721954
2023	andalucia	99,3943159155
2023	aragon	103,5380761168
2023	asturias	102,4259883035
2023	baleares	102,3585484872
2023	canarias	98,7225739615
2023	cantabria	103,3868276899
2023	castilla_la_mancha	101,1184323312
2023	castilla_leon	101,4102638315
2023	catalunya	100,9515204087
2023	ceuta	95,8348745584
2023	comunidad_valenciana	102,0633366374
2023	extremadura	101,1538013579
2023	galicia	99,2993766437
2023	madrid	101,992818566
2023	melilla	99,5766845669
2023	murcia	100,1715568368
2023	navarra	104,9352636527
2023	pais_vasco	103,5434024085
2023	rioja	103,8336285784
2023	total_nacional	101,2026141343
2024	andalucia	99,5430284815
2024	aragon	103,3876273554
2024	asturias	102,9033482938
2024	baleares	103,130586569
2024	canarias	99,3767481339
2024	cantabria	103,4230676054
2024	castilla_la_mancha	101,1142602847
2024	castilla_leon	101,5163652062
2024	catalunya	101,3052156942
2024	ceuta	97,9058268986
2024	comunidad_valenciana	102,2662378983
2024	extremadura	101,4312367673
2024	galicia	99,6651243072
2024	madrid	102,2778233496
2024	melilla	98,9517943068
2024	murcia	100,36403643
2024	navarra	105,1866084463
2024	pais_vasco	103,7354424322
2024	rioja	103,9126617141
2024	total_nacional	101,4672225858
