Year	CCAA	Value
1988	comunidad_valenciana	3811224
1988	extremadura	1068381
1988	galicia	2776829
1988	madrid	4902168
1988	melilla	55770
1988	murcia	1022339
1988	navarra	518612
1988	pais_vasco	2132852
1988	rioja	261825
1988	total_nacional	38731578
1989	andalucia	6860269
1989	aragon	1196130
1989	asturias	1109331
1989	baleares	700883
1989	canarias	1473018
1989	cantabria	527667
1989	castilla_la_mancha	1661327
1989	castilla_leon	2568239
1989	catalunya	6064260
1989	ceuta	67254
1989	comunidad_valenciana	3827276
1989	extremadura	1067212
1989	galicia	2764881
1989	madrid	4920827
1989	melilla	56109
1989	murcia	1030440
1989	navarra	519251
1989	pais_vasco	2125498
1989	rioja	262429
1989	total_nacional	38802300
1990	andalucia	6898938
1990	aragon	1193294
1990	asturias	1102849
1990	baleares	705294
1990	canarias	1483529
1990	cantabria	527688
1990	castilla_la_mancha	1660507
1990	castilla_leon	2559546
1990	catalunya	6064741
1990	ceuta	67466
1990	comunidad_valenciana	3841820
1990	extremadura	1065258
1990	galicia	2751383
1990	madrid	4937156
1990	melilla	56379
1990	murcia	1037838
1990	navarra	519631
1990	pais_vasco	2116888
1990	rioja	263021
1990	total_nacional	38853227
1991	andalucia	6937107
1991	aragon	1189771
1991	asturias	1095557
1991	baleares	708917
1991	canarias	1492835
1991	cantabria	527567
1991	castilla_la_mancha	1659371
1991	castilla_leon	2548508
1991	catalunya	6061507
1991	ceuta	67610
1991	comunidad_valenciana	3855982
1991	extremadura	1062741
1991	galicia	2735558
1991	madrid	4947735
1991	melilla	56605
1991	murcia	1044764
1991	navarra	519500
1991	pais_vasco	2106405
1991	rioja	263376
1991	total_nacional	38881416
1992	andalucia	6981694
1992	aragon	1190530
1992	asturias	1092874
1992	baleares	719713
1992	canarias	1510606
1992	cantabria	528528
1992	castilla_la_mancha	1667663
1992	castilla_leon	2541467
1992	catalunya	6082495
1992	ceuta	67981
1992	comunidad_valenciana	3882777
1992	extremadura	1063112
1992	galicia	2731875
1992	madrid	4984663
1992	melilla	57417
1992	murcia	1058075
1992	navarra	522071
1992	pais_vasco	2103318
1992	rioja	264477
1992	total_nacional	39051336
1993	andalucia	7030277
1993	aragon	1193145
1993	asturias	1091116
1993	baleares	732316
1993	canarias	1530528
1993	cantabria	529686
1993	castilla_la_mancha	1678672
1993	castilla_leon	2535358
1993	catalunya	6110576
1993	ceuta	68449
1993	comunidad_valenciana	3913214
1993	extremadura	1064385
1993	galicia	2731249
1993	madrid	5030383
1993	melilla	58528
1993	murcia	1072937
1993	navarra	525349
1993	pais_vasco	2102202
1993	rioja	265665
1993	total_nacional	39264034
1994	andalucia	7074930
1994	aragon	1194633
1994	asturias	1088497
1994	baleares	744232
1994	canarias	1549420
1994	cantabria	530550
1994	castilla_la_mancha	1688537
1994	castilla_leon	2528348
1994	catalunya	6136308
1994	ceuta	68957
1994	comunidad_valenciana	3942324
1994	extremadura	1064776
1994	galicia	2730117
1994	madrid	5074384
1994	melilla	59559
1994	murcia	1087209
1994	navarra	528520
1994	pais_vasco	2100382
1994	rioja	266807
1994	total_nacional	39458489
1995	andalucia	7115499
1995	aragon	1196261
1995	asturias	1086001
1995	baleares	756141
1995	canarias	1568049
1995	cantabria	531185
1995	castilla_la_mancha	1698263
1995	castilla_leon	2520690
1995	catalunya	6161209
1995	ceuta	69318
1995	comunidad_valenciana	3969401
1995	extremadura	1065076
1995	galicia	2727113
1995	madrid	5116658
1995	melilla	60450
1995	murcia	1100679
1995	navarra	531732
1995	pais_vasco	2097947
1995	rioja	268055
1995	total_nacional	39639726
1996	andalucia	7152486
1996	aragon	1197260
1996	asturias	1082714
1996	baleares	767952
1996	canarias	1586644
1996	cantabria	531601
