Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Sexo	Periodo	Total
Total Nacional	04 Balears, Illes		Mujeres	2022	594.943
Total Nacional	04 Balears, Illes		Mujeres	2021	592.425
Total Nacional	04 Balears, Illes	07 Balears, Illes	Total	2024	1.231.768
Total Nacional	04 Balears, Illes	07 Balears, Illes	Total	2023	1.209.906
Total Nacional	04 Balears, Illes	07 Balears, Illes	Total	2022	1.187.043
Total Nacional	04 Balears, Illes	07 Balears, Illes	Total	2021	1.183.415
Total Nacional	04 Balears, Illes	07 Balears, Illes	Hombres	2024	613.910
Total Nacional	04 Balears, Illes	07 Balears, Illes	Hombres	2023	602.649
Total Nacional	04 Balears, Illes	07 Balears, Illes	Hombres	2022	592.100
Total Nacional	04 Balears, Illes	07 Balears, Illes	Hombres	2021	590.990
Total Nacional	04 Balears, Illes	07 Balears, Illes	Mujeres	2024	617.858
Total Nacional	04 Balears, Illes	07 Balears, Illes	Mujeres	2023	607.257
Total Nacional	04 Balears, Illes	07 Balears, Illes	Mujeres	2022	594.943
Total Nacional	04 Balears, Illes	07 Balears, Illes	Mujeres	2021	592.425
Total Nacional	05 Canarias		Total	2024	2.238.754
Total Nacional	05 Canarias		Total	2023	2.213.016
Total Nacional	05 Canarias		Total	2022	2.185.607
Total Nacional	05 Canarias		Total	2021	2.178.924
Total Nacional	05 Canarias		Hombres	2024	1.105.037
Total Nacional	05 Canarias		Hombres	2023	1.092.723
Total Nacional	05 Canarias		Hombres	2022	1.080.244
Total Nacional	05 Canarias		Hombres	2021	1.077.860
Total Nacional	05 Canarias		Mujeres	2024	1.133.717
Total Nacional	05 Canarias		Mujeres	2023	1.120.293
Total Nacional	05 Canarias		Mujeres	2022	1.105.363
Total Nacional	05 Canarias		Mujeres	2021	1.101.064
Total Nacional	05 Canarias	35 Palmas, Las	Total	2024	1.159.890
Total Nacional	05 Canarias	35 Palmas, Las	Total	2023	1.145.843
Total Nacional	05 Canarias	35 Palmas, Las	Total	2022	1.133.733
Total Nacional	05 Canarias	35 Palmas, Las	Total	2021	1.131.359
Total Nacional	05 Canarias	35 Palmas, Las	Hombres	2024	576.064
Total Nacional	05 Canarias	35 Palmas, Las	Hombres	2023	569.470
Total Nacional	05 Canarias	35 Palmas, Las	Hombres	2022	563.763
Total Nacional	05 Canarias	35 Palmas, Las	Hombres	2021	563.160
Total Nacional	05 Canarias	35 Palmas, Las	Mujeres	2024	583.826
Total Nacional	05 Canarias	35 Palmas, Las	Mujeres	2023	576.373
Total Nacional	05 Canarias	35 Palmas, Las	Mujeres	2022	569.970
Total Nacional	05 Canarias	35 Palmas, Las	Mujeres	2021	568.199
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Total	2024	1.078.864
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Total	2023	1.067.173
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Total	2022	1.051.874
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Total	2021	1.047.565
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Hombres	2024	528.973
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Hombres	2023	523.253
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Hombres	2022	516.481
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Hombres	2021	514.700
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Mujeres	2024	549.891
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Mujeres	2023	543.920
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Mujeres	2022	535.393
Total Nacional	05 Canarias	38 Santa Cruz de Tenerife	Mujeres	2021	532.865
Total Nacional	06 Cantabria		Total	2024	590.851
Total Nacional	06 Cantabria		Total	2023	588.387
Total Nacional	06 Cantabria		Total	2022	585.450
Total Nacional	06 Cantabria		Total	2021	584.708
Total Nacional	06 Cantabria		Hombres	2024	286.322
Total Nacional	06 Cantabria		Hombres	2023	285.133
Total Nacional	06 Cantabria		Hombres	2022	284.061
Total Nacional	06 Cantabria		Hombres	2021	283.854
Total Nacional	06 Cantabria		Mujeres	2024	304.529
Total Nacional	06 Cantabria		Mujeres	2023	303.254
Total Nacional	06 Cantabria		Mujeres	2022	301.389
Total Nacional	06 Cantabria		Mujeres	2021	300.854
Total Nacional	06 Cantabria	39 Cantabria	Total	2024	590.851
Total Nacional	06 Cantabria	39 Cantabria	Total	2023	588.387
Total Nacional	06 Cantabria	39 Cantabria	Total	2022	585.450
Total Nacional	06 Cantabria	39 Cantabria	Total	2021	584.708
Total Nacional	06 Cantabria	39 Cantabria	Hombres	2024	286.322
Total Nacional	06 Cantabria	39 Cantabria	Hombres	2023	285.133
Total Nacional	06 Cantabria	39 Cantabria	Hombres	2022	284.061
Total Nacional	06 Cantabria	39 Cantabria	Hombres	2021	283.854
Total Nacional	06 Cantabria	39 Cantabria	Mujeres	2024	304.529
Total Nacional	06 Cantabria	39 Cantabria	Mujeres	2023	303.254
Total Nacional	06 Cantabria	39 Cantabria	Mujeres	2022	301.389
Total Nacional	06 Cantabria	39 Cantabria	Mujeres	2021	300.854
Total Nacional	07 Castilla y León		Total	2024	2.391.682
Total Nacional	07 Castilla y León		Total	2023	2.383.703
Total Nacional	07 Castilla y León		Total	2022	2.375.583
Total Nacional	07 Castilla y León		Total	2021	2.385.223
Total Nacional	07 Castilla y León		Hombres	2024	1.177.504
Total Nacional	07 Castilla y León		Hombres	2023	1.173.585
Total Nacional	07 Castilla y León		Hombres	2022	1.170.227
Total Nacional	07 Castilla y León		Hombres	2021	1.174.957
Total Nacional	07 Castilla y León		Mujeres	2024	1.214.178
